,user_id,item_id,date,timestamp
0,R_10AtO7bUfe8iWYK,ABIS_BOOK,2018-09-01,1535814000
1,R_10AtO7bUfe8iWYK,BOARD_GAME,2018-09-01,1535814000
2,R_129jUlsvVcVBDur,PET_FOOD,2018-09-01,1535814000
3,R_129jUlsvVcVBDur,CANDY,2018-09-01,1535814000
4,R_1C4tcyEfmcsKI9X,MAJOR_HOME_APPLIANCES,2018-09-01,1535814000
5,R_1C8w4NDDQC5fcgE,SHIN_GUARD,2018-09-01,1535814000
6,R_1C8w4NDDQC5fcgE,SNACK_FOOD_BAR,2018-09-01,1535814000
7,R_1C8w4NDDQC5fcgE,SHIRT,2018-09-01,1535814000
8,R_1C8w4NDDQC5fcgE,SHOES,2018-09-01,1535814000
9,R_1C9YUFD8GunlGej,VITAMIN,2018-09-01,1535814000
10,R_1C9YUFD8GunlGej,ELECTRONIC_CABLE,2018-09-01,1535814000
11,R_1C9YUFD8GunlGej,ART_AND_CRAFT_SUPPLY,2018-09-01,1535814000
12,R_1C9YUFD8GunlGej,COAT,2018-09-01,1535814000
13,R_1C9YUFD8GunlGej,ELECTRONIC_COMPONENT_FAN,2018-09-01,1535814000
14,R_1C9YUFD8GunlGej,OUTDOOR_RECREATION_PRODUCT,2018-09-01,1535814000
15,R_1C9YUFD8GunlGej,ART_AND_CRAFT_SUPPLY,2018-09-01,1535814000
16,R_1DYWdbAMt6LyCZH,NAIL_TREATMENT,2018-09-01,1535814000
17,R_1DYWdbAMt6LyCZH,TEA,2018-09-01,1535814000
18,R_1KkFs7rgWXlWf58,SNACK_FOOD_BAR,2018-09-01,1535814000
19,R_1KkFs7rgWXlWf58,CARBURETOR,2018-09-01,1535814000
20,R_1KkFs7rgWXlWf58,KAYAK,2018-09-01,1535814000
21,R_1KxVDxZl2H0XoHS,BATTERY,2018-09-01,1535814000
22,R_1KxVDxZl2H0XoHS,SHIRT,2018-09-01,1535814000
23,R_1KxVDxZl2H0XoHS,HAIR_COLORING_AGENT,2018-09-01,1535814000
24,R_1KxVDxZl2H0XoHS,UNDERPANTS,2018-09-01,1535814000
25,R_1MTbVUzYEQq2MzU,TV_TUNER_CARD,2018-09-01,1535814000
26,R_1MY7yxvExjQWTkv,VITAMIN,2018-09-01,1535814000
27,R_1MY7yxvExjQWTkv,SPEAKERS,2018-09-01,1535814000
28,R_1NDq0rxoUSu6oyz,BICYCLE_BRAKE_PAD,2018-09-01,1535814000
29,R_1NDq0rxoUSu6oyz,ART_CRAFT_KIT,2018-09-01,1535814000
30,R_1NDq0rxoUSu6oyz,PANTS,2018-09-01,1535814000
31,R_1NDq0rxoUSu6oyz,HEALTH_PERSONAL_CARE,2018-09-01,1535814000
32,R_1OlyKZYuQUE5Cgc,UMBRELLA,2018-09-01,1535814000
33,R_1Q9JeeKncbbLcz0,HEALTH_PERSONAL_CARE,2018-09-01,1535814000
34,R_1Q9JeeKncbbLcz0,NUTRITIONAL_SUPPLEMENT,2018-09-01,1535814000
35,R_1Q9JeeKncbbLcz0,THERMOMETER,2018-09-01,1535814000
36,R_1Q9JeeKncbbLcz0,CELLULAR_PHONE_CASE,2018-09-01,1535814000
37,R_1Q9JeeKncbbLcz0,NUTRITIONAL_SUPPLEMENT,2018-09-01,1535814000
38,R_1Q9JeeKncbbLcz0,FISHING_HOOK,2018-09-01,1535814000
39,R_1Q9JeeKncbbLcz0,TOYS_AND_GAMES,2018-09-01,1535814000
40,R_1QLfbB3Lho273wG,THERMOS,2018-09-01,1535814000
